  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
 24761 | Dirch Frode                                                   |                   7 |     3306 |         47070
 24762 | Female TV Reporter                                            |                  34 |     3306 |       1244028
 24763 | Policeman in the Woods                                        |                  30 |     3306 |        568303
 24764 | Economic Director (uncredited)                                |                  48 |     3306 |        112853
 24765 | Cecilia Vanger                                                |                   6 |     3306 |         87724
 24766 | Janne Dahlman                                                 |                  14 |     3306 |         93236
 24767 | Annika Giannini                                               |                  11 |     3306 |         79270
 24768 | Birger Vanger                                                 |                  29 |     3306 |         87726
 24769 | Monica Giannini                                               |                  38 |     3306 |       3493437
 24770 | Lisbeth Salander                                              |                   1 |     3306 |         87722
 24771 | Dragan Armanskij                                              |                  10 |     3306 |         92897
 24772 | Malin Erikson                                                 |                  12 |     3306 |         83899
 24773 | Nurse (uncredited)                                            |                  50 |     3306 |       2755586
 24774 | Editor                                                        |                  28 |     3306 |          6301
 24775 | Receptionist                                                  |                  26 |     3306 |       2019987
 24776 | Gustav Morell                                                 |                   8 |     3306 |         55002
 24777 | Judge                                                         |                  27 |     3306 |         74391
 24778 | Otto Falk (uncredited)                                        |                  43 |     3306 |        338484
 24779 | Huligan #1                                                    |                  31 |     3306 |       1174786
 24780 | Prison Guard                                                  |                  40 |     3306 |       3493438
 24781 | Security Guard (uncredited)                                   |                  49 |     3306 |       2908536
 24782 | Verge                                                         |                   1 |     3307 |          2310
 24783 | Man 1                                                         |                  17 |     3307 |       1823404
 24784 | Lady 2                                                        |                   3 |     3307 |          6751
 24785 | George                                                        |                  14 |     3307 |       2688214
 24786 | Scythe Man, Elysian Fields                                    |                  23 |     3307 |       2688217
 24787 | Jack                                                          |                   0 |     3307 |          2876
 24788 | Lady 1                                                        |                   2 |     3307 |           139
 24789 | Simple                                                        |                   5 |     3307 |         98522
 24790 | Dead Man #2 (uncredited)                                      |                  25 |     3307 |       2610907
 24791 | Grumpy                                                        |                  13 |     3307 |       2688213
 24792 | Young Jack                                                    |                  10 |     3307 |       2196404
 24793 | Man 4                                                         |                  20 |     3307 |       1351733
 24794 | Man 3                                                         |                  19 |     3307 |        116614
